contract,expiry_month,expiry_year,date,price,volume
CWFH26,Mar 2026,2026,05-03-2026,25761.0,1110.0
CWFJ26,Apr 2026,2026,05-03-2026,29050.0,1545.0
CWFK26,May 2026,2026,05-03-2026,30007.0,740.0
CWFM26,Jun 2026,2026,05-03-2026,30750.0,535.0
CWFN26,Jul 2026,2026,05-03-2026,29889.0,152.0
CWFQ26,Aug 2026,2026,05-03-2026,29482.0,152.0
CWFU26,Sep 2026,2026,05-03-2026,29646.0,157.0
CWFV26,Oct 2026,2026,05-03-2026,29396.0,66.0
CWFX26,Nov 2026,2026,05-03-2026,29396.0,66.0
CWFZ26,Dec 2026,2026,05-03-2026,29396.0,66.0
CWFF27,Jan 2027,2027,05-03-2026,20321.0,50.0
CWFG27,Feb 2027,2027,05-03-2026,20321.0,50.0
CWFH27,Mar 2027,2027,05-03-2026,20321.0,50.0
CWFJ27,Apr 2027,2027,05-03-2026,25400.0,50.0
CWFK27,May 2027,2027,05-03-2026,25400.0,50.0
CWFM27,Jun 2027,2027,05-03-2026,25400.0,50.0
CWFN27,Jul 2027,2027,05-03-2026,27782.0,50.0
CWFQ27,Aug 2027,2027,05-03-2026,27782.0,50.0
CWFU27,Sep 2027,2027,05-03-2026,27782.0,50.0
CWFV27,Oct 2027,2027,05-03-2026,27782.0,50.0
CWFX27,Nov 2027,2027,05-03-2026,27782.0,50.0
CWFZ27,Dec 2027,2027,05-03-2026,27782.0,50.0
CWFF28,Jan 2028,2028,05-03-2026,22529.0,5.0
CWFG28,Feb 2028,2028,05-03-2026,22529.0,5.0
CWFH28,Mar 2028,2028,05-03-2026,22529.0,5.0
CWFJ28,Apr 2028,2028,05-03-2026,22529.0,5.0
CWFK28,May 2028,2028,05-03-2026,22529.0,5.0
CWFM28,Jun 2028,2028,05-03-2026,22529.0,5.0
CWFN28,Jul 2028,2028,05-03-2026,22529.0,5.0
CWFQ28,Aug 2028,2028,05-03-2026,22529.0,5.0
CWFU28,Sep 2028,2028,05-03-2026,22529.0,5.0
CWFV28,Oct 2028,2028,05-03-2026,22529.0,5.0
CWFX28,Nov 2028,2028,05-03-2026,22529.0,5.0
CWFZ28,Dec 2028,2028,05-03-2026,22529.0,5.0
CWFF29,Jan 2029,2029,05-03-2026,21518.0,0.0
CWFG29,Feb 2029,2029,05-03-2026,21518.0,0.0
CWFH29,Mar 2029,2029,05-03-2026,21518.0,0.0
CWFJ29,Apr 2029,2029,05-03-2026,21518.0,0.0
CWFK29,May 2029,2029,05-03-2026,21518.0,0.0
CWFM29,Jun 2029,2029,05-03-2026,21518.0,0.0
CWFN29,Jul 2029,2029,05-03-2026,21518.0,0.0
CWFQ29,Aug 2029,2029,05-03-2026,21518.0,0.0
CWFU29,Sep 2029,2029,05-03-2026,21518.0,0.0
CWFV29,Oct 2029,2029,05-03-2026,21518.0,0.0
CWFX29,Nov 2029,2029,05-03-2026,21518.0,0.0
CWFZ29,Dec 2029,2029,05-03-2026,21518.0,0.0
CWFF30,Jan 2030,2030,05-03-2026,20543.0,0.0
CWFG30,Feb 2030,2030,05-03-2026,20543.0,0.0
CWFH30,Mar 2030,2030,05-03-2026,20543.0,0.0
CWFJ30,Apr 2030,2030,05-03-2026,20543.0,0.0
CWFK30,May 2030,2030,05-03-2026,20543.0,0.0
CWFM30,Jun 2030,2030,05-03-2026,20543.0,0.0
CWFN30,Jul 2030,2030,05-03-2026,20543.0,0.0
CWFQ30,Aug 2030,2030,05-03-2026,20543.0,0.0
CWFU30,Sep 2030,2030,05-03-2026,20543.0,0.0
CWFV30,Oct 2030,2030,05-03-2026,20543.0,0.0
CWFX30,Nov 2030,2030,05-03-2026,20543.0,0.0
CWFZ30,Dec 2030,2030,05-03-2026,20543.0,0.0
CWFF31,Jan 2031,2031,05-03-2026,19525.0,0.0
CWFG31,Feb 2031,2031,05-03-2026,19525.0,0.0
CWFH31,Mar 2031,2031,05-03-2026,19525.0,0.0
CWFJ31,Apr 2031,2031,05-03-2026,19525.0,0.0
CWFK31,May 2031,2031,05-03-2026,19525.0,0.0
CWFM31,Jun 2031,2031,05-03-2026,19525.0,0.0
CWFN31,Jul 2031,2031,05-03-2026,19525.0,0.0
CWFQ31,Aug 2031,2031,05-03-2026,19525.0,0.0
CWFU31,Sep 2031,2031,05-03-2026,19525.0,0.0
CWFV31,Oct 2031,2031,05-03-2026,19525.0,0.0
CWFX31,Nov 2031,2031,05-03-2026,19525.0,0.0
CWFZ31,Dec 2031,2031,05-03-2026,19525.0,0.0
CWFF32,Jan 2032,2032,31-12-2024,18621.0,0.0
CWFG32,Feb 2032,2032,31-12-2024,18621.0,0.0
CWFH32,Mar 2032,2032,31-12-2024,18621.0,0.0
CWFJ32,Apr 2032,2032,31-12-2024,18621.0,0.0
CWFK32,May 2032,2032,31-12-2024,18621.0,0.0
CWFM32,Jun 2032,2032,31-12-2024,18621.0,0.0
CWFN32,Jul 2032,2032,31-12-2024,18621.0,0.0
CWFQ32,Aug 2032,2032,31-12-2024,18621.0,0.0
CWFU32,Sep 2032,2032,31-12-2024,18621.0,0.0
CWFV32,Oct 2032,2032,31-12-2024,18621.0,0.0
CWFX32,Nov 2032,2032,31-12-2024,18621.0,0.0
CWFZ32,Dec 2032,2032,31-12-2024,18621.0,0.0
